GE;Russia, Turkey Agree Creation of Nagorno-Karabakh Ceasefire Monitoring Center;"The Russian and Turkish defense ministers signed an agreement on Wednesday on the establishment of a joint ceasefire control center in Nagorno-Karabakh.""The memorandum of creation of a joint Russian-Turkish center for ceasefire supervision in Nagorno-Karabakh has been signed following videoconference talks between Russian Defense Minister Sergei Shoigu and his Turkish counterpart Hulusi Akar, the Russian Defense Ministry reported Wednesday,"" news agency TASS reports. The memorandum sets out the goals and principles of the joint supervision center.According to Shoigu, the agreements reached by the presidents of Russia and Azerbaijan, the Armenian Prime Minister and the deployment of Russian peacekeepers to the conflict zone made it possible to stop hostilities, end the bloodshed, and lay down conditions to returning to a peaceful life.""The presence of Russian peacekeepers will ensure stability in the crisis region, stop flows of refugees, and will facilitate their return to places of residencies,"" the Russian minister stressed. He also added, ""the decision to create a joint monitoring center will allow the exercising of control over compliance with the ceasefire by the parties and will form a strong basis to settle the longstanding conflict.""""The center will be located in Azerbaijan. It is noted that the center will collect, summarize and verify information about the implementation of the ceasefire by the parties and other actions that violate the agreements reached. It is also tasked with documenting violations via visual supervision, UAVs, and assessing data from other sources. The center will become a body for considering any complaints, issues or problems regarding violation of the agreements reached,"" reports TASS.On November 10, Armenia, Azerbaijan and Russia signed an agreement to end the military conflict over the disputed region of Nagorno-Karabakh.The new ceasefire agreement prompted anger in Armenia, with protesters storming Parliament and calling Armenian PM Pashinyan ""traitor.""";A
UK;Nagorno-Karabakh peace deal reshapes regional geopolitics;The Russian-brokered ceasefire deal in Nagorno-Karabakh will empower both Moscow and Ankara as the new kingmakers in the South Caucasus, analysts said, redrawing security guarantees between Armenia and Azerbaijan with the conspicuous absence of the west. As in the conflicts in Libya and Syria, Russia and Turkey have once again found themselves backing opposing sides, and used their sway on local players to negotiate for peace deals that guarantee their own influence. “There’s an absolutely new geopolitical configuration,” said Fyodor Lukyanov, an influential political expert close to the Kremlin. That configuration eschews France and the United States, which along with Russia had formed the OSCE Minsk Group and hosted talks since a key 1994 ceasefire that ended a bloody war between Armenia and Azerbaijan. But the OSCE Minsk Group played little role in negotiating an end to the 2020 war, as the United States had appeared distracted under President Trump, was left off of initial communiques calling for an end to the violence. Meanwhile, Turkish support for Azerbaijan helped launch a six-week offensive that had captured Shusha, a strategically-placed city in Nagorno-Karabakh, and was threatening the region’s largest city of Stepanakert until Russia stepped in with peacekeepers. “The Minsk group basically doesn’t exist anymore,” said Lukyanov, calling Turkey an “important part of the equation”. “The military defeat of Armenia means that the previous status quo is impossible to restore. That means that the Russian role as a guarantor of stability is highly demanded by both sides.” Early on Tuesday morning, the first of nearly 2,000 Russian peacekeepers deployed toward the Lachin corridor, a lifeline between mainland Armenia and Stepanakert, the largest city in Nagorno-Karabakh. Under the accord announced signed by Armenia and Azerbaijan, Russian troops will guard the corridor for five years. The future for Stepanakert looks dim, said Laurence Broers, the Caucasus programme director at Conciliation Resources, a peace-building group, adding that “maybe the calculation is that it’s going to be such an awful place to live that most of the Armenian population – most of whom have already left – won’t come back”. The mission is arguably Russia’s greatest intervention into the region since the 2008 Georgia war. Russia had resisted a peacekeeping role for weeks until it became clear that Azerbaijan was threatening to capture the whole of Nagorno-Karabakh. “The idea was to let the Azeris win but not completely,” said Lukyanov. Under the agreement, Azerbaijan will retain control of the land it has captured during the war and retake territories outside of Nagorno-Karabakh under Armenian control. Already on Tuesday there were signs of both sides jockeying to spin the peace deal. The Azerbaijan president, Ilham Aliyev, said that both Russian and Turkish peacekeepers would be deployed to Nagorno-Karabakh, shocking many Armenians. Russia quickly intervened, highlighting that Turkey was not an official partner to the peace agreement. “Not a single word is said about this in the published statement,” Dmitri Peskov, the Kremlin spokesman, told reporters on Tuesday. “The sides did not agree on that. The presence of Turkish soldiers in Karabakh was not coordinated.” Turkey’s influence on the conflict has been well documented, as Ankara sold crucial drone technology to Azerbaijan, and Turkish security firms contracted with rebel fighters from Idlib to travel to Azerbaijan and fight on the front lines of the conflict. And the opening of a direct link between Azerbaijan and its exclave of Nakhchivan, which borders Turkey, would create a land route from Turkey to mainland Azerbaijan. All eyes will now be on the Russian peacekeepers in Nagorno-Karabakh, who are the key to maintaining a fragile ceasefire. Broers said that the Russian peacekeepers could “look like a colonising force”. “To go into a peacekeeping operation without a political process that could deliver a peace agreement basically means you’re there for good,” he said. “What’s been created now is an inherently unstable situation. That peacekeeping contingent will be vulnerable to provocations.”;N
ES;The three residents of Lloret who have gone to war;"The same day the war broke out, Armen Knyazyan boarded a plane for Armenia. Knyazyan was a well-known restaurant entrepreneur in Lloret de Mar (La Selva). Inflated with patriotism but without military training - with limited gun control thanks to his fondness for hunting - the 46-year-old Armenian traveled to his home country on September 27 to fight in Nagorno-Karabakh. . The region, disputed between Armenia and Azerbaijan, is the scene of a new war to which thousands of Armenians living abroad have joined. Knyazyan died on October 10 from a drone attack.Knyazyan was buried on October 17 in Lloret, according to the Diari de Girona. The coffin was covered with the flag of Artsakh, the Armenian-majority republic in Upper Karabakh. Artsakh was a self-proclaimed independent country - without United Nations recognition - in the wake of the war between Armenia and Azerbaijan between 1988 and 1994. The region has been formally part of Azerbaijan since the Soviet era. . When it disintegrated, the clash between the two communities in the territory was unleashed. Artsakh President Araik Arutiunian has awarded the posthumous medal as a national hero to Knyazyan. Arutiunian explained in a statement that he had met the Lloret businessman in 2016, during the so-called “four-day war”, the previous war escalation that took place in Upper Karabakh. His daughter, Marianna Knyazyan, explains that her father was visiting Armenia in those days and when the conflagration broke out, he did not hesitate and went to Artsakh to help his compatriots. Knyazyan on this occasion did not hesitate either. He died when a drone attacked the vehicle in which he was traveling. Marianna believes that the Azeri army targeted him because he was accompanying a prominent Armenian soldier.Armen is not the only member of the Knyazyan family who left Lloret to join the war. A cousin of his, the Sarkis, has settled in the Armenian capital, Yerevan, to take in refugees from the conflict zone: another cousin, Norik, a cook in a restaurant in this village on the Costa Brava, has been accepted by the army at the front because he had done military service. The Armenian embassy in Madrid reports that ten Armenians residing in Spain have traveled to their country of origin to participate in one way or another in the fight. ""More than 200 Armenians in Spain have contacted the embassy in order to convey their availability to travel to Artsakh when necessary,"" said a spokeswoman for the delegation.Armen Knyazyan leaves three children and a wife. Marianna admits that the three brothers have at some point thought of taking part in the war, she from Yerevan helping logistically and the two men at the front line of the battle. ""Fighting for the homeland is an example for us, but my mother and I would not allow them to leave, we do not want more losses to the family. In addition, they do not have any military experience or know the place.The Knyazyans arrived in Lloret de Mar in 2000 from Germany. A friend of Armen's suggested to him that he could find work in the village. They were among the first Armenians to settle in the municipality - now there are more than 200. He started as a waiter and progressed to own three restaurants, the best known being the Italian Giorgio. Another referent of the local Armenian community is Samuel Badalyan, a high-ranking ex-military man in the war with Azerbaijan following Soviet disintegration. Badalyan is part of the veteran volunteer units fighting in Nagorno-Karabakh. In Spain he has dedicated himself to the business of private security and is the founder of the Armenian Cultural Association of Lloret. Badalyan's war name, which fighters use to communicate with each other and not be identified by the enemy, is ""Gubernator,"" says his son, Sargis Badalyan. Armen Knyazyan's pseudonym was ""Barcelona"".Sargis Badalyan points out that his father has only had words of gratitude for Spain since he was granted political asylum in 1998. ""Politicians in Armenia were afraid of him,"" explains Sargis, ""he was a military man of great prestige and denounced unjust actions in the army."" Samuel Badalyan could do nothing but leave the peace of the Mediterranean coast and go back to Karabakh, says Sargis: post-traumatic stress because he had to nail the shot to a friend shattered by a bomb. That doesn't forgive him. """"The war turned him into a monster,"" says Sargis. ""My father has killed a thousand people or more. They were afraid of him and that's why he suffered seven assassination attempts. "" Asked about the feeling that a 63-year-old man can bring to martyrdom, with his life already rebuilt on the gentle Catalan coast, Sargis Badalyan recalls that the vast majority of Armenians are scattered around the worldArmen Knyazyan leaves three children and a wife. Marianna admits that the three brothers have at some point thought of taking part in the war, she from Yerevan helping logistically and the two men at the front line of the battle. ""Fighting for the homeland is an example for us, but my mother and I would not allow them to leave, we do not want more losses to the family. In addition, they do not have any military experience or know the place.The Knyazyans arrived in Lloret de Mar in 2000 from Germany. A friend of Armen's suggested to him that he could find work in the village. They were among the first Armenians to settle in the municipality - now there are more than 200. He started as a waiter and progressed to own three restaurants, the best known being the Italian Giorgio. Another referent of the local Armenian community is Samuel Badalyan, a high-ranking ex-military man in the war with Azerbaijan following Soviet disintegration. Badalyan is part of the veteran volunteer units fighting in Nagorno-Karabakh. In Spain he has dedicated himself to the business of private security and is the founder of the Armenian Cultural Association of Lloret. Badalyan's war name, which fighters use to communicate with each other and not be identified by the enemy, is ""Gubernator,"" says his son, Sargis Badalyan. Armen Knyazyan's pseudonym was ""Barcelona"".Sargis Badalyan points out that his father has only had words of gratitude for Spain since he was granted political asylum in 1998. ""Politicians in Armenia were afraid of him,"" explains Sargis, ""he was a military man of great prestige and denounced unjust actions in the army."" Samuel Badalyan could do nothing but leave the peace of the Mediterranean coast and go back to Karabakh, says Sargis: post-traumatic stress because he had to nail the shot to a friend shattered by a bomb. That doesn't forgive him. """"The war turned him into a monster,"" says Sargis. ""My father has killed a thousand people or more. They were afraid of him and that's why he suffered seven assassination attempts. "" Asked about the feeling that a 63-year-old man can bring to martyrdom, with his life already rebuilt on the gentle Catalan coast, Sargis Badalyan recalls that the vast majority of Armenians are scattered around the world since the genocide committed by the Ottoman Empire in early twentieth century, but they all have their country at heart: “Armenians go each to our own, but when it comes to the nation, we all go at once. Our patriotism is brutal. "" The Sargis adds that if Spain were attacked, they would also take up arms for the country that hosted them.";E
GE;"Trenin: ""The Armenians Will Have to Eat their Bitter Humble Pie"" & Georgia Draw Lessons";The second Karabakh War is seemingly over, and as one side celebrates and another mourns, experts, opinion makers and their ilk are trying to gauge what the Kremlin-brokered, Erdogan-approved truce might bring. How will the power balance change in the region, who are the winners and losers, and, finally, what impact will it have on Georgia? These are the topics GEORGIA TODAY put to one of the Moscow Carnegie Center's most prominent faces, Dmitri Trenin.By far the most important and basic question is how does this new deal change the power balance in the region?It establishes a new balance in the region, a new regional order if you like, which is supported by two of three principal powers outside the region: one is Russia, the other Turkey. I think this new order legitimizes Turkey's inclusion in the South Caucasus balance. Turkey has certainly increased its profile in the South Caucasus, while Russia has reconfigured its role in the region, becoming the one power that can act as a mediator between Azerbaijan and Armenia. Turkey will not be able to perform that role. Then again, we have to realize that Moscow is no longer the dominant power in the South Caucasus, has not been for a long time now, in fact, and I don't think Moscow will recover that position. Azerbaijan will be very much aligned with Turkey, Armenia is under a question mark, but Russia has rediscovered its role as the only power that is accepted both in Yerevan and Baku, and that provides it with potent leverage. Let us not forget that Russia is very worried about the stability of the of the northern Caucasus, an area where it fears, should the war in Karabakh continue, there will be more jihadis, more outsiders from outside the region who come to Karabakh and stay in the Caucasus. An influx of jihadis from outside the region would be bitter irony for Russia- to have fought the jihadists in Syria only to see them much closer to home.Why did Russia remain so inactive and only now manage to broker a truce? Was it premeditated?I would disagree that Russia played a waiting game to mediate a truce between Armenia and Azerbaijan. They tried to broker a truce exactly a month ago, when the situation was very different, and no-one can say that it was a pro-forma exercise. I think the motivation of the Russian side was to stop the conflict as soon as possible. My chief argument is that Russia cares more about the northern Caucasus than it does about the southern.A counter argument to that would be that genuine ceasefires brokered by Russia are not usually violated in 7 hours, as happened here. This new one does not look like it will be violated anytime soon.No, because continuation of the war would lead to the utter and complete defeat of Armenia, very likely the total banishment of Armenians from Karabakh, and the total seizure of the entire territory by Azerbaijani forces. That is what essentially made the Armenian side agree to the ceasefire.Azerbaijan has been exercising this policy of strategic patience and militarization for 26 years, and it has been enjoying military superiority over Yerevan for more than a decade. Why act now?There was a confluence of several factors, one of which was the Turkish factor. Turkey played a major role and, as we know, in the months preceding the war, supplied Azerbaijan with lots of hardware, lots of expertise that the Azerbaijanis used in this war. It was also the time when the United States is distracted with its own election and then the transfer of power. Thirdly, President Aliyev benefited from Russia’s displeasure and distrust of Pashinyan and his government. He kept stressing in interviews with the Russian media “you have a Soros-appointed prime minister in Armenia who is not really your friend.” The moment was opportune for Aliyev. I think he decided to launch what they call a counter-offensive against the offensive that stopped 26 years ago.Do you see Russia using the peacekeepers, who will control the Lachine corridor, as a leverage to keep Armenia under its thumb?They will control the Lachine corridor, and that will give them leverage, no question about that. Russians are looking at their alliances, and one school of thought in Moscow is that “if people want our protection, they have to be good allies: they have to stand with us: they shouldn't be ashamed by being closer to us because you know you cannot expect Russia to bail you out and at the same time try to impress the West how pro-Western you are: you need to choose.” If Russia holds the keys to important Armenian positions, then it indeed has leverage, and if Armenians want to reject that kind of arrangement, they are free to do so as a separate country. The pro-Western part of Armenian society could ask themselves why the US hasn’t done more for them, and if the US is not available for whatever reason as your protector, then even though you may have reservations, you have to be a good and honest ally to Russia.Are we talking about alliances here, or vassalage?I don’t think the term vassalage belongs in today's world, it doesn't belong in an analytical vocabulary, it belongs in the vocabulary of calling names. Mr Putin calls European countries “American vassals.” What it means is that you have to be seriously and honestly friendly toward Russia: have a genuine, sincere alliance with Russia. It's more like a wedding: if you wed somebody, it doesn't mean that you are somebody's vassal, but it certainly means that there are certain rules to be observed, there are certain things that you will not do as long as you want to keep that marriage going. Of course, you can get out of that marriage, and even marry somebody else: it's a free choice.How is that different from creating the spheres of influence that are so derided today?Russia’s sphere of influence in reality is very small: it includes very close to Abkhazia, South Ossetia, and Donbas. Russia is working very hard to reconfigure its relationship with Belarus as we speak, that's very important. What Belarus is being offered is not a sphere of influence, it's something different, it's very close to integration.What about Armenia? Will it remain Pro-Russian?Armenia is not a Russian sphere of influence. I think the Armenians will have to eat their humble pie, which is very bitter, and I think there's a tremendous disappointment. I hope that Armenia will use this: defeat is always an opportunity, as when you are defeated, you become self-critical. I hope it doesn't turn the Armenian political class into a bunch of revanchists.On to Turkey. How does its increased presence in the South Caucasus change things?I think we’re living in a world now in which regional powers are more empowered than ever. Turkey has not become the dominant power in the South Caucasus as a result of the second Karabakh War, but they have gained not only a foothold, but a legitimized presence with another great power. Moscow will have to take Ankara more into account, that's for sure. Moscow and Ankara are rivals, but they are also partners in a limited sense of the word. They managed to compete, and they managed to negotiate and reach deals, and it gives you a promise that Turkey and Russia will not clash. I hope that they don’t clash.After trying the diplomacy approach for 26 years without luck, Baku achieved what it wanted in month and half through military might. Will it lead onlookers to think this is the only way to get back what you think is rightfully yours in Post-Soviet conflicts?An interesting question. All supposedly frozen conflicts can unfreeze at some point, and this is something that I'm saying here to the Russian audience: watch Karabakh and come to the conclusion that other conflicts can suddenly unfreeze and then confront you with a real security issue. Here, I’m talking primarily about Transnistria, but also about others.There are also situations when Moscow itself unfreezes conflicts. Do you see Russia trying to unfreeze the conflicts in Georgia?I think Russia is satisfied today, having Abkhazia and South Ossetia as its military bases. Does Russia want more? I don't think so. I mean, Russia in 2008 could have sent its military into Tbilisi. They chose not to do that not because of the French or the Western efforts: they exercised restraint based on their calculus of the negatives that would have surely followed after the Russian military's entry into Tbilisi. in 2014, there were people who argued that Russia should not stop with Crimea and Donbas and should march on Kiev and keep Ukraine under control. I think Putin chose wisely not to do so. Even today, Russia could have sent forces into Belarus to prop up Lukashenko, but they didn't. There are certain things you can do, but you would rather not because the negatives of doing so far outweigh the positives.What are the negatives?In Georgia, Russia doesn't really need Georgia: it needs Abkhazia to protect Sochi, which is Russia's de facto third capital: with Georgia very friendly with the US and potentially an American base in the future, they would want to have some protection from that side. South Ossetia places the Russian military within an hour's drive of Tbilisi: it's like a gun to your temple. Russia doesn't need more. Does it want to fight to make Georgia…what? To make it another Armenia? There are so many people in Georgia who are anti-Russian, what would you do with them? Once you step into such a territory, it would require a massive infusion of capital and money. Russia doesn't have that money to spend on Georgia, and even with Abkhazia and South Ossetia there are issues. The empire that could afford that, glorious as it was for many Russians, is history.Does the Nakhichevan corridor which has been speculated, if it materializes, threaten Georgia's transit country status?I would doubt it would play a very important role. There will be a competitor to the transit lines that run through Georgia, yes, but I don't think Azerbaijan will place so much of its transit in the hands of the Russians who will patrol the corridor. The status of Georgia as a transit country is not in danger.Any other impact this second Karabakh war could have on Georgia?It’s a useful warning that it's better to have conflicts resolved diplomatically: I think it applies to Georgia. there are two things I’ll say: the Abkhaz would not want to live under Georgian rule, and I think that it applies vice versa: I don't think the Georgian people who live in Abkhazia are happy to live under Abkhaz rule. The second thing I think is true is that South Ossetia will never be a full-fledged state. In happier times, before the Russian-Georgian war. I often mused about the future status of South Ossetia as some sort of Andorra that is a separate state but both Spain and France regard it as part of its own territory and it can function, with three statuses merged into one. You can do these things, I mean, there's no limit to how resourceful diplomats can be.That would be a kind of marriage between Russia and Georgia?Yes. Whether that’s still on the cards is another question though. It’s something that perhaps needs to be given more thought.;N
SW;Swiss call for an end to violence in Nagorno-Karabakh;The Swiss foreign ministry has called for an immediate stop to the violence in the Nagorno-Karabakh conflict between Armenia and Azerbaijan. It has also allocated CHF1 million ($1.1 million) to the humanitarian operations of the Geneva-based International Committee of the Red Cross (ICRC).“Attacks on the civilian population and civilian objects must cease. The parties to the conflict are called upon to comply with international humanitarian law,” the ministry said in a statement on Tuesday.The contribution was being made in response to an appeal by the ICRC, it said.“Furthermore, the ministry expresses Switzerland’s regret that the humanitarian ceasefires of October 10 and 17 have not been respected. It reiterates its call to the parties to the conflict to stop the violence and condemns the ongoing shelling of residential areas.”Observance of the principles of distinction and proportionality were paramount, it added. “This also means that cluster munitions must not be used, as such weapons do not make any distinction between civilians and combatants.”Will the United Nations soon be obsolete?Is the international order capable of meeting the enormous challenges facing states and societies around the world?The Swiss government said that it was only through peaceful means that a lasting solution to the Nagorno-Karabakh conflict could be found. The foreign ministry therefore called on both parties to the conflict “to resume meaningful negotiations without delay or preconditions”.;N
UK;The situation in and around Nagorno-Karabakh: UK statement;The United Kingdom welcomed the most recent humanitarian ceasefire and we are once again deeply disappointed to see that it is not being respected.We strongly condemn the continued shelling of civilian areas. Continued reports of civilian casualties are a stark reminder of the impact that this conflict is having on innocent civilians. Our position is clear: targeting of civilian settlements is deplorable. We offer our condolences to those who have lost loved ones. Our thoughts are with those who have been displaced and whose lives are being affected.We call on both parties to respect the ceasefire and return swiftly to the negotiating table: recognising the fact that the continuing violence is having a significant impact on civilians.We urge the parties to allow the ICRC immediate access as they seek to facilitate return of prisoners of war and repatriate the remains of the deceased.The international community continues to make clear that there can be no military solution to the situation in and around Nagorno-Karabakh. We urge both parties to return to substantive negotiations under the auspices of the Minsk Group Co-Chairs. The Minsk Group is the primary format through which a settlement must be reached.Once again I would like to reiterate the UKs support for the OSCE Minsk Group Co-Chairs in their role in mediating negotiations between Armenia and Azerbaijan.;N
LI;Protesters demand an immediate end to the war;They demand the recognition of the Artsakh Republic (Nagorno-Karabakh) and the condemnation of the war crimes committed. The armed conflict in the South Caucasus is being driven by authoritarian regimes.;N
SM;"San Marino. ""Preoccupazione per gli scontri in Nagorno-Karabakh""";"This was reported in a press release. ""The Republic of San Marino, recalls the Secretary of State, has always promoted the importance of dialogue between States and the search for a spirit of peace and trust that supports the mediation capacity between the parties for the resolution of disputes between States . Secretary of State Beccari recalls in this sense the importance of the action carried out in the multilateral context by the Organization for Security and Cooperation in Europe (OSCE) and the mediation work promoted under the aegis of the Group Co-Chairs. of Minsk, supporting the call for dialogue and the search for a peaceful resolution of the conflict in all international meetings in which it is present.In a context where the continuation of the conflict remains an important historical element, the risk of an aggravation of the clashes is an element of concern for all States. The extent of the clashes must lead each country to reflect on the state of crisis that affects the life and future of the population unjustly marked by the harshness of conflicts """;N
BG;Nagorno-Karabakh: Armenians Burn Their Homes and Flee as They Become Refugees from the War;Thousands of ethnic Armenians are fleeing areas around Nagorno-Karabakh that are to be handed over to Azerbaijan as part of the recent peace deal.The disputed region is internationally recognised as Azerbaijan's, but has been run by ethnic Armenians since 1994.According to the agreement, Armenia must cede control of several districts by 15 November.Some ethnic Armenians are even destroying their own homes so no Azerbaijanis can move in.;E
IR;Thousands in Armenia protest against Nagorno-Karabakh ceasefire terms;Thousands of people gathered in the capital of Armenia to protest against the country’s agreement with Azerbaijan to halt weeks of fighting over the Nagorno-Karabakh region. The deal calls for the deployment of nearly 2,000 Russian peacekeepers and territorial concessions. Participants at the rally, which Armenia’s opposition parties promoted, demanded the resignation of the country’s prime minister, who signed the peace agreement along with the presidents of Azerbaijan and Russia. Some of the protesters in Yerevan clashed with police, and many were detained. The truce between the two ex-Soviet nations, brokered by Moscow and announced on Tuesday, came after significant advances by Azerbaijani forces that the Armenia-backed leader of Nagorno-Karabakh said made it impossible for his side to carry on. The agreement was celebrated in Azerbaijan, but it angered Armenians, who immediately took to the streets demanding that the pact be invalidated. Armenia and Azerbaijan have been locked in a conflict over Nagorno-Karabakh for decades. The region lies within Azerbaijan but has been under control of ethnic Armenian forces backed by Armenia since a separatist war there ended in 1994. Heavy fighting erupted in late September – the biggest escalation of the conflict in a quarter of a century – and has left hundreds, possibly thousands, dead. Several ceasefires announced over the past six weeks crumbled almost immediately, but the current agreement appeared to be holding, with neither side reporting any more fighting since it came into force. It came days after Azerbaijan pressed its offensive deeper into Nagorno-Karabakh and took control of the city of Shushi, which is strategically positioned on heights overlooking the regional capital of Stepanakert. Nagorno-Karabakh’s separatist leader, Arayik Harutyunyan, acknowledged Tuesday that “had the hostilities continued at the same pace, we would have lost all of Artsakh (an Armenian name for Nagorno-Karabakh) within days.” Armenian prime minister Nikol Pashinian said it was “extremely painful for me personally and for our people”, calling the situation a “catastrophe” and adding that he had no choice but to sign the peace agreement. The agreement calls for Armenia to turn over control of some areas its holds outside the borders of Nagorno-Karabakh. They include the Lachin region, which the main road leading from Nagorno-Karabakh to Armenia passes through. The agreement calls for the road, the so-called Lachin Corridor, to remain open and to be protected by Russian peacekeepers. The deal also calls for transport links to be established through Armenia that would connect Azerbaijan and its western exclave of Nakhchivan, which is surrounded by Armenia, Iran and Turkey. Armenian opposition politicians on Wednesday called the agreement “treacherous” and demanded that Mr Pashinian step down. “We need to save Armenia and Artsakh from Pashinian,” Ishkhan Saghatelyan, member of the Armenian Revolutionary Federation – Dashnaktsutyun political party, said at a rally that drew up to 10,000 people.;N
IR;Armenian parliament besieged by protesters demanding PM’s resignation;Thousands of protesters have converged on Armenia’s parliament building to push for the resignation of Prime Minister Nikol Pashinyan over his handing of fighting with Azerbaijan. They are angry about a peace deal that ended six weeks of fighting over the separatist region of Nagorno-Karabakh but saw Azerbaijan take over wide areas that have been controlled by Armenian forces for more than a quarter of a century. Armenia’s opposition parties gave Mr Pashinyan an ultimatum to resign by Tuesday, but he has ignored the demand, defending the peace deal as a bitter but necessary move that prevented Azerbaijan from overrunning the entire Nagorno-Karabakh region. About 15,000 protesters marched through Yerevan to the parliament building, chanting “Nikol go away”. The opposition has been pushing for Mr Pashinyan’s resignation since the Russia-brokered peace deal took effect on November 10. Protests have grown over the past days, with demonstrators blocking traffic in various sections of the capital, and also rallying in other cities. The Armenian Apostolic Church and all three of the country’s former presidents have joined the demand for Mr Pashinyan to step down. Undeterred, the prime minister told MPs in parliament that the nation needs consolidation in the current difficult period. “Voices of different groups mustn’t be mistaken for the people’s voice,” he said. Nagorno-Karabakh lies within Azerbaijan but has been under the control of ethnic Armenian forces backed by Armenia since a separatist war there ended in 1994. That war left Nagorno-Karabakh itself and substantial surrounding territory in Armenian hands. In 44 days of fighting that began in late September and left more than 5,600 people killed on both sides, the Azerbaijani army forged deep into Nagorno-Karabakh, forcing Armenia to accept the peace deal that saw Azerbaijan reclaim much of the separatist region along with surrounding areas. Azerbaijanis have celebrated it as a major victory, and the country is set to hold a massive military parade on Thursday – to be attended by visiting Turkish President Recep Tayyip Erdogan.Turkey strongly backed Azerbaijan during the conflict, which it used to expand its influence in the region.;E
IT;The mission of Deputy Minister Di Stefano in the Caucasus;Today, the Deputy Minister of Foreign Affairs and International Cooperation, Manlio Di Stefano, begins his mission in the Caucasus visiting Jerevan and Baku's cities. It is the Italian Government's first mission in the region after the end of the conflict between Armenia and Azerbaijan. The mission includes meetings at a high political level. It will allow continuing Rome's political, economic, commercial, and cultural dialogue with the two Caucasian capitals.;N
AT;Nagorno-Karabakh: Turkey wants to monitor ceasefire with Russia;"Together with Russia, Turkey wants to ensure compliance with the ceasefire in Nagorno-Karabakh. A Russian delegation is therefore expected in Turkey on Friday, said Turkish Foreign Minister Mevlüt Cavusoglu on Thursday in Baku, according to reports from Turkish broadcasters. According to him, both sides want to discuss the creation of a joint observatory for the ceasefire agreement between Armenia and Azerbaijan.The warring neighboring states of Armenia and Azerbaijan agreed on the ceasefire in Nagorno-Karabakh on Tuesday night after weeks of heavy fighting. The agreement was signed by Armenia, Azerbaijan and Russia - Turkey's role is not explicitly mentioned in the written agreement.However, Turkey, which is assisting Azerbaijan in the conflict, expects to be involved in monitoring the agreement and refers to an agreement reached on Wednesday by defense ministers on both sides.Once the observatory is set up, it will use drones and other means to ""fully control"" what is happening in Nagorno-Karabakh, ""whether there are violations or not,"" said Cavusoglu in Baku. He hoped that Armenia ""learned from its mistakes"". If Armenia breaks the agreement, it will ""pay the price,"" added Cavusoglu.Arrests in ArmeniaIn the course of the protests against the ceasefire agreement, prominent government critics were arrested on Thursday. The public prosecutor announced that ten opposition activists had been arrested for organizing ""illegal, violent mass unrest"". The arrests came a few hours before critics wanted to demonstrate against the agreement again in Yerevan.The police arrested several demonstrators in Yerevan on Wednesday after thousands of people had gathered for protests in the center of the Armenian capital. Among them were the head of the opposition party in Bloom Armenia, Gagik Zarukian, and Ischchan Sagateian from the party Armenian Revolutionary Federation. They face up to ten years imprisonment. The protesters protest against the ceasefire agreement and demand the resignation of Prime Minister Nikol Pashinian.The agreement reached under Russian mediation stipulates that both warring parties may keep the areas in which they currently have control - for Armenia this means major territorial losses. Azerbaijan had conquered 15 to 20 percent of Nagorno-Karabakh territory in the course of the fighting with the pro-Armenian troops.To control the ceasefire, Russia announced the dispatch of around 2,000 soldiers and hundreds of army vehicles to the front lines. The first 414 Russian soldiers and dozens of army vehicles are already in Nagorno-Karabakh, according to the military on Wednesday. Among other things, they are supposed to secure a corridor that connects the Lachin district in Nagorno-Karabakh with the Armenian national territory.The self-proclaimed Nagorno-Karabakh Republic is still not recognized internationally and is considered part of Azerbaijan under international law. Most of it is inhabited by Armenians. The fighting over the region, which had been controversial for decades, broke out again at the end of September. According to both sides, more than a thousand people have been killed since then.";A
